app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,lassen node-local bb,strong-scaling,1024,2638910.3115090015,6.0,25165824.0,3496383489.489842,1560000.0000036357,10922666666.756798,3076571279.570162,1929782843.7817357,5371912539.409339,0.01788302734375004,0.00983299999999776,0.027372000000003283,0.017379998046875015,0.00944099999999981,0.02670899999999854,0.0037070141696424054,0.0020382155857747524,0.0056753541353302545
haccio,lassen node-local bb,weak-scaling,64,2975142.594448728,6.0,25165824.0,3081077096.496655,1299999.9999914835,9039448275.844378,2772574053.1918187,1909641782.535693,4478763928.09357,0.023093562500000137,0.013462000000000973,0.031573000000000295,0.022586156250000065,0.012942000000001563,0.031053000000001774,0.010865318521158494,0.0063321623210033364,0.014858464162040463
haccio,lassen node-local bb,weak-scaling,128,2994768.9654637175,6.0,25165824.0,3165070779.6219563,1949999.999987225,9039448275.91359,2936178417.5252976,2493511993.3829746,5018153974.198409,0.021043570312500016,0.01201500000000122,0.02417999999999987,0.020568156250000094,0.011473999999999318,0.023680999999998953,0.00902725194050372,0.005155236685676789,0.010371953758828578
haccio,lassen node-local bb,weak-scaling,256,3004679.576406463,6.0,25165824.0,3200118510.0936584,1560000.0000036357,8886237288.097443,3026799124.240729,2486006679.585954,5213412883.7006,0.02058895703125012,0.011565000000000492,0.024253000000000746,0.02008401562500009,0.011261999999999883,0.023584000000000938,0.009946893280720211,0.005589124833604172,0.011717749483368381
haccio,lassen node-local bb,weak-scaling,512,3009659.521302525,6.0,25165824.0,3128668505.3827157,1444444.4444563636,8738133333.340763,2982286563.5921006,2456832239.9251423,5085452091.767939,0.02076552148437495,0.011855999999999867,0.024540999999998814,0.020265900390625022,0.011443000000001202,0.02387999999999968,0.00724181993817674,0.004134117305363518,0.008556545147455834
haccio,lassen node-local bb,weak-scaling,1024,3012155.6889300873,7.0,25165824.0,3146424606.7222247,2437499.9999975623,9362285714.313473,3001734691.2650642,2501062761.853324,5223349215.975616,0.020684561523437495,0.011542999999998749,0.024107000000000767,0.020152812499999964,0.011020000000001584,0.023504000000000413,0.005976695066250389,0.0033353473206393465,0.006966061203404718
haccio,summit gpfs,strong-scaling,64,4449778.386276022,7.0,25165824.0,5069529641.602388,4999999.9998562215,11459846994.534487,497567822.59900594,209173780.42415795,1278098758.4330246,0.21883376562500007,0.07055599999999962,0.43111299999999997,0.16055364062499994,0.02197500000000016,0.367892,0.319336756430946,0.10289224095004791,0.6272962159857903
haccio,summit gpfs,strong-scaling,128,3489556.8645712067,6.0,25165824.0,4860139657.689561,5571428.571445091,11155063829.789253,353879857.2545892,126417205.29172133,1062049765.6840537,0.23925371093750006,0.06614999999999986,0.5557359999999997,0.08846982031249999,0.016221000000000096,0.14490799999999987,0.3611942204784282,0.09992584777520327,0.8378994717736421
haccio,summit gpfs,strong-scaling,256,3004679.576406463,7.0,25165824.0,5556005221.899374,3968992.248062016,10810061855.668571,479766978.5094475,127433496.64154331,2216495845.893677,0.1760479218750001,0.027202000000000087,0.47313400000000033,0.023862742187499994,0.011046999999999918,0.14592199999999986,0.26959497313291114,0.04166359280832749,0.725333095293026
haccio,summit gpfs,strong-scaling,512,2761035.4755776543,7.0,25165824.0,5168907367.337183,3906929.1734891436,10609537942.664236,333358764.0289796,8225113.635062479,2012164283.8953917,0.3033333652343752,0.02748899999999979,6.724817000000005,0.03511456250000003,0.009745999999999921,6.4451940000000025,0.04229504779845696,0.0038336340516299913,0.9376106000057913
