app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
paradis,lassen gpfs,weak-scaling,64,31.477622377622378,3.0,61.0,1326774.3804595305,39087.9478827006,40999999.95785379,26055.23728265707,10387.585345023428,41882.05247839178,0.17649556250001305,0.1227349999995675,0.42010099999945805,0.003820562499999826,0.002283000000004254,0.005117999999999068,0.004940988185614272,0.003435952303390519,0.011760764199957571
paradis,lassen gpfs,weak-scaling,128,33.68822023047375,3.0,61.0,1331108.394358611,48979.591836813335,60999999.93729466,31727.904477623535,15846.814130062801,65480.90789813635,0.07736759374996752,0.05797999999969794,0.232107999999849,0.002267671875000609,0.0012139999999969397,0.007131000000009546,0.0037740961945415784,0.002828330905719449,0.011322339751557022
paradis,lassen gpfs,weak-scaling,256,33.55577689243028,3.0,61.0,1303852.2973431102,57971.01449285888,40999999.95785379,46788.782813618665,9443.43065693316,119484.5612726656,0.05386279687499035,0.03682700000001793,0.17536000000002128,0.0021635390624996694,0.0008589999999970566,0.01013000000000508,0.003908982261869017,0.002672648419434102,0.012726436536205334
paradis,lassen gpfs,weak-scaling,512,36.981259760541384,3.0,61.0,1523375.094413084,125000.00000103147,40999999.95785379,20187.433791769457,0.0,187301.29218178208,0.04124394335937319,0.022504000000020064,0.20541600000003335,0.0006404422310758374,4.099999999995774e-05,0.013430999999998416,0.00396050794398792,0.002160989931871251,0.0197255215768871
paradis,lassen gpfs,weak-scaling,1024,36.38686642397088,3.0,61.0,1433624.9021295477,110091.74311912792,36999999.99482822,9710.821904426553,0.0,50564.67685298453,0.06088604394531243,0.013870000000008709,0.697889,0.0004377812499999691,4.1999999999653426e-05,0.002036000000002147,0.006440571839311556,0.0014671994825983833,0.07382334559753355
paradis,lassen node-local bb,weak-scaling,64,31.441887767081475,3.0,61.0,1380309.4195555726,47808.764939815876,58000000.146435924,33844.828434663184,20900.894923285217,50597.42340299882,0.12355131250000546,0.10700400000032206,0.13482899999994213,0.0037585937500003025,0.00210699999999564,0.005682999999970573,0.0035421024526769425,0.0030677054764784084,0.003865364040154494
paradis,lassen node-local bb,weak-scaling,128,33.7161751951431,3.0,61.0,1292618.2304568659,47430.830039389795,42000000.03143282,38498.39521366721,20586.843350683488,144705.1261448589,0.06254908593749457,0.051030999999737814,0.07471099999982611,0.002386882812500747,0.0009120000000044648,0.006001999999999619,0.0031283249253905997,0.0025522665483043126,0.003736604485288273
paradis,lassen node-local bb,weak-scaling,256,33.53613004719455,3.0,61.0,1303246.7793179892,90909.09090922937,41000000.03068442,76251.27322619197,43206.367254302444,388858.66153267643,0.03250102343750735,0.022769000000129047,0.047785999999998774,0.002161875000000004,0.0008769999999986844,0.010233000000002157,0.0025920544698214186,0.0018159082544201583,0.003810863548146797
paradis,lassen node-local bb,weak-scaling,512,36.78263112639725,3.0,61.0,1667292.4453932485,69364.16184963049,5857142.857067327,48630.90112616392,0.0,897729.6151239481,0.015967552734376438,0.009483999999955195,0.03395900000000651,0.0005654183266932273,3.499999999956316e-05,0.013436999999998811,0.0017696565987093456,0.0010510886271365612,0.0037633697392721707
paradis,lassen node-local bb,weak-scaling,1024,36.59125636672326,3.0,61.0,1597040.3231532644,59405.94059385307,40999999.9942691,54616.09852178246,0.0,235314.00557856628,0.008304690429686823,0.004525000000013879,0.014067000000024699,0.00039361971830986726,4.1999999999653426e-05,0.0019299999999971007,0.0010838100464174473,0.0005905420367200272,0.001835829095349211
paradis,summit gpfs,weak-scaling,64,24.210829862223648,3.0,61.0,2203551.397659389,67796.61016920046,41000000.10351505,17296.573535201704,5903.784668034542,31031.40951191753,0.14314715625002702,0.1137640000000182,0.32398600000028455,0.002192312500002266,0.001356000000000801,0.0028630000000073874,0.0021796696766717403,0.0017322273225013293,0.004933280740110414
