App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
10  0.000721   0.929724      0.069555         1.0
11  0.000721   0.885922      0.113357         1.0
12  0.000753   0.892987      0.106260         1.0
13  0.000744   0.929732      0.069524         1.0
14  0.000730   0.945779      0.053492         1.0
15  0.000745   0.882392      0.116863         1.0
16  0.156790   0.777160      0.066051         1.0
17  0.000621   0.917112      0.082266         1.0
18  0.000659   0.897161      0.102181         1.0
19  0.000670   0.921794      0.077535         1.0
20  0.000648   0.920977      0.078374         1.0
21  0.000665   0.901828      0.097506         1.0
22  0.000644   0.917326      0.082030         1.0
23  0.000638   0.901689      0.097673         1.0
24  0.235960   0.583244      0.180796         1.0
25  0.000718   0.823311      0.175971         1.0
26  0.000728   0.822950      0.176322         1.0
27  0.000729   0.822599      0.176671         1.0
28  0.000791   0.823906      0.175303         1.0
29  0.000806   0.824226      0.174968         1.0
30  0.000770   0.824696      0.174534         1.0
31  0.000748   0.824638      0.174614         1.0
32  0.262946   0.680806      0.056248         1.0
33  0.000731   0.919558      0.079711         1.0
34  0.000730   0.925029      0.074241         1.0
35  0.000732   0.942516      0.056752         1.0
36  0.000797   0.826728      0.172475         1.0
37  0.000789   0.925680      0.073531         1.0
38  0.000771   0.849984      0.149246         1.0
39  0.000789   0.933344      0.065866         1.0
40  0.108050   0.806758      0.085192         1.0
41  0.000846   0.930930      0.068225         1.0
42  0.000831   0.879274      0.119895         1.0
43  0.000841   0.879321      0.119838         1.0
44  0.000872   0.932853      0.066276         1.0
45  0.000865   0.876490      0.122645         1.0
46  0.000861   0.933901      0.065239         1.0
47  0.000852   0.828731      0.170417         1.0
48  0.264062   0.654002      0.081936         1.0
49  0.000855   0.856307      0.142839         1.0
50  0.000857   0.927844      0.071299         1.0
51  0.000850   0.915044      0.084106         1.0
52  0.000840   0.870111      0.129048         1.0
53  0.000812   0.869445      0.129743         1.0
54  0.000816   0.908683      0.090501         1.0
55  0.000852   0.803903      0.195245         1.0
56  0.326487   0.538301      0.135212         1.0
57  0.000842   0.941190      0.057969         1.0
58  0.000811   0.940564      0.058625         1.0
59  0.000798   0.917614      0.081588         1.0
60  0.000917   0.927704      0.071379         1.0
61  0.000938   0.922383      0.076680         1.0
62  0.000864   0.933624      0.065512         1.0
63  0.000895   0.929559      0.069546         1.0
Mean I/O Intensity over ranks: 
io_time         0.037953
comm_time       0.855310
compute_time    0.106737
total_time      1.000000
==================================


App: LAMMPS-20Mar3-LJ_2D_NetCDF
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.025743   0.079693      0.894564         1.0
1   0.000010   0.950988      0.049002         1.0
2   0.000010   0.954566      0.045423         1.0
3   0.000009   0.951474      0.048516         1.0
4   0.000013   0.955618      0.044368         1.0
