level_0,index,scaling,num_proc,io_subsystem,time,speed_up,app
36,66,strong-scaling,256,summit bb,0.012832399999999999,20.799476325550952,ior-t1m
37,67,strong-scaling,256,summit bb,0.030909799999999998,8.986224433674757,ior-t4k
38,68,strong-scaling,256,summit bb,0.01286,21.521632970451012,ior-t64k
39,69,strong-scaling,512,summit bb,0.010350000000000002,14.7831884057971,ior-t1m
40,70,strong-scaling,512,summit bb,0.0188466,11.449364872178535,ior-t4k
41,71,strong-scaling,512,summit bb,0.0103388,17.29732657561806,ior-t64k
42,72,strong-scaling,1024,summit bb,0.0084386,86.42483350318774,ior-t1m
43,73,strong-scaling,1024,summit bb,0.012929200000000002,29.842248553661474,ior-t4k
44,74,strong-scaling,1024,summit bb,0.0079166,45.61968521840184,ior-t64k
45,90,weak-scaling,64,cori bb,0.3415178,0.41725965674409937,ior-t1m
46,91,weak-scaling,64,cori bb,7.045999999999999,0.02499145614533069,ior-t4k
47,92,weak-scaling,64,cori bb,1.6371782,0.08923988848617702,ior-t64k
48,93,weak-scaling,128,cori bb,0.6402236,0.24174522776105098,ior-t1m
49,94,weak-scaling,128,cori bb,11.224,0.013344975053456876,ior-t4k
50,95,weak-scaling,128,cori bb,1.3882442,0.11582256205356377,ior-t64k
51,96,weak-scaling,256,cori bb,1.6632738000000002,0.21301303489539722,ior-t1m
52,97,weak-scaling,256,cori bb,14.988000000000003,0.009672738190552442,ior-t4k
53,98,weak-scaling,256,cori bb,2.5876782,0.052276361102396744,ior-t64k
54,99,weak-scaling,512,cori bb,2.7359999999999998,0.1088091374269006,ior-t1m
55,100,weak-scaling,512,cori bb,28.877999999999997,0.006749788766535079,ior-t4k
56,101,weak-scaling,512,cori bb,4.334,0.03147219658514075,ior-t64k
57,102,weak-scaling,1024,cori bb,7.470000000000001,0.042664551539491294,ior-t1m
58,103,weak-scaling,1024,cori bb,50.239999999999995,0.004012695063694268,ior-t4k
59,104,weak-scaling,1024,cori bb,8.155999999999999,0.02090448749386955,ior-t64k
60,120,weak-scaling,64,lassen bb,0.0086318,234.78912857109756,ior-t1m
61,121,weak-scaling,64,lassen bb,0.1528386,16.072532724063162,ior-t4k
62,122,weak-scaling,64,lassen bb,0.012642999999999998,135.4116111682354,ior-t64k
63,123,weak-scaling,128,lassen bb,0.0092146,209.99018948190914,ior-t1m
64,124,weak-scaling,128,lassen bb,0.15641560000000002,26.421342883957863,ior-t4k
65,125,weak-scaling,128,lassen bb,0.012789600000000002,128.55610808782134,ior-t64k
66,126,weak-scaling,256,lassen bb,0.009039799999999999,215.6254563154052,ior-t1m
67,127,weak-scaling,256,lassen bb,0.15802599999999997,27.428950932125094,ior-t4k
68,128,weak-scaling,256,lassen bb,0.013028799999999998,135.2815301485939,ior-t64k
69,129,weak-scaling,512,lassen bb,0.0095944,211.03904360877178,ior-t1m
70,130,weak-scaling,512,lassen bb,0.1588352,20.69739956886131,ior-t4k
71,131,weak-scaling,512,lassen bb,0.0187516,129.36568612811706,ior-t64k
72,132,weak-scaling,1024,lassen bb,0.009211399999999998,231.8164882645418,ior-t1m
73,133,weak-scaling,1024,lassen bb,0.46437819999999996,5.749905572656081,ior-t4k
74,134,weak-scaling,1024,lassen bb,0.018884400000000003,151.16429433818388,ior-t64k
75,150,weak-scaling,64,summit bb,0.012409800000000002,20.414398298119227,ior-t1m
76,151,weak-scaling,64,summit bb,0.0375896,7.034142422372146,ior-t4k
77,152,weak-scaling,64,summit bb,0.0120726,28.521726885675008,ior-t64k
78,153,weak-scaling,128,summit bb,0.0124118,144.4995085322032,ior-t1m
79,154,weak-scaling,128,summit bb,0.037241800000000005,8.575691830147845,ior-t4k
80,155,weak-scaling,128,summit bb,0.0120754,17.841909998840617,ior-t64k
81,156,weak-scaling,256,summit bb,0.012704199999999999,123.16542560727949,ior-t1m
82,157,weak-scaling,256,summit bb,0.029400400000000004,10.28086012435205,ior-t4k
83,158,weak-scaling,256,summit bb,0.01309,15.56192513368984,ior-t64k
84,159,weak-scaling,512,summit bb,0.0142856,79.51685613484908,ior-t1m
85,160,weak-scaling,512,summit bb,0.030973799999999996,22.933543833820845,ior-t4k
86,161,weak-scaling,512,summit bb,0.0130298,29.98092065879753,ior-t64k
87,162,weak-scaling,1024,summit bb,0.0153196,171.34058330504715,ior-t1m
88,163,weak-scaling,1024,summit bb,0.030325400000000002,48.097034169376165,ior-t4k
89,164,weak-scaling,1024,summit bb,0.013192200000000001,45.95010688133897,ior-t64k
