app,io_subsystem,scaling,num_proc,speed_up
ior-t64k,lassen bb,weak-scaling,64,135.4116112
ior-t64k,lassen bb,weak-scaling,128,128.5561081
ior-t64k,lassen bb,weak-scaling,256,135.2815301
ior-t64k,lassen bb,weak-scaling,512,129.3656861
ior-t64k,lassen bb,weak-scaling,1024,151.1642943
ior-t64k,summit bb,strong-scaling,64,9.312439618
ior-t64k,summit bb,strong-scaling,128,21.34255088
ior-t64k,summit bb,strong-scaling,256,21.52163297
ior-t64k,summit bb,strong-scaling,512,17.29732658
ior-t64k,summit bb,strong-scaling,1024,45.61968522
ior-t64k,summit bb,weak-scaling,64,28.52172689
ior-t64k,summit bb,weak-scaling,128,17.84191
ior-t64k,summit bb,weak-scaling,256,15.56192513
ior-t64k,summit bb,weak-scaling,512,29.98092066
ior-t64k,summit bb,weak-scaling,1024,45.95010688
