app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t4k,4k,cori lustre,weak-scaling,64,1713717979.4578452,0.12589642187500039,0.06510948437500029
ior-t4k,4k,cori lustre,weak-scaling,128,1698552367.7665744,0.10551805468749997,0.06435353906250008
ior-t4k,4k,cori lustre,weak-scaling,256,1700915547.1418874,0.1657309687500001,0.0647616601562501
ior-t4k,4k,cori lustre,weak-scaling,512,1706177766.4632032,0.2292177597656249,0.06674620117187482
ior-t4k,4k,cori lustre,weak-scaling,1024,1714005956.987371,0.3039255224609377,0.06854966113281258
ior-t4k,4k,cori 1 bb,weak-scaling,64,5658477.878938922,6.534633390625002,6.512929171874999
ior-t4k,4k,cori 1 bb,weak-scaling,128,2792182.5343806087,12.690460890624996,12.654970859374998
ior-t4k,4k,cori 1 bb,weak-scaling,256,2549994.931105155,14.073705753906246,14.034968796874994
ior-t4k,4k,cori 1 bb,weak-scaling,512,1328954.5452445408,26.43232882617187,26.3665376953125
ior-t4k,4k,cori 1 bb,weak-scaling,1024,691637.4183709222,50.73156674804689,50.582323772460946
ior-t4k,4k,cori 2 bb,weak-scaling,64,9189512.17061751,4.8229869687499995,4.797113906250003
ior-t4k,4k,cori 2 bb,weak-scaling,128,7401165.538739212,6.351796164062504,6.328944210937503
ior-t4k,4k,cori 2 bb,weak-scaling,256,5938308.183183779,6.9969030117187465,6.964495585937497
ior-t4k,4k,cori 2 bb,weak-scaling,512,3232070.738864924,12.8218281171875,12.776347861328125
ior-t4k,4k,cori 2 bb,weak-scaling,1024,1895738.1791627253,21.88931250781251,21.80964102636719
ior-t4k,4k,cori 4 bb,weak-scaling,64,9806348.020953445,4.626521296875,4.599020484375
ior-t4k,4k,cori 4 bb,weak-scaling,128,10089392.311439343,4.385331046874999,4.364004328124999
ior-t4k,4k,cori 4 bb,weak-scaling,256,9042232.787282702,7.196304183593751,7.169919421875003
ior-t4k,4k,cori 4 bb,weak-scaling,512,6264354.653030357,6.140094900390625,6.10071124609375
ior-t4k,4k,cori 4 bb,weak-scaling,1024,3822493.873337362,11.332240096679685,11.268940722656247
ior-t4k,4k,cori 8 bb,weak-scaling,64,9566719.372658642,4.537777843750002,4.516364171875001
ior-t4k,4k,cori 8 bb,weak-scaling,128,9965189.062439544,4.694924828125002,4.673255187500002
ior-t4k,4k,cori 8 bb,weak-scaling,256,10254875.036683964,4.27397134765625,4.25188333984375
ior-t4k,4k,cori 8 bb,weak-scaling,512,8909577.528467255,4.323961474609373,4.291731640624999
ior-t4k,4k,cori 8 bb,weak-scaling,1024,6117508.872713132,6.461122665039062,6.404081728515624
ior-t4k,4k,cori 16 bb,weak-scaling,64,9564342.573578719,4.237363515625001,4.216268140624997
ior-t4k,4k,cori 16 bb,weak-scaling,128,9818963.739713894,4.154864796874998,4.136210242187499
ior-t4k,4k,cori 16 bb,weak-scaling,256,9744801.129674615,4.111238835937497,4.088223222656248
ior-t4k,4k,cori 16 bb,weak-scaling,512,11484511.148414519,4.102301931640626,4.069457744140626
ior-t4k,4k,cori 16 bb,weak-scaling,1024,9200508.687292434,4.235058567382812,4.184527247070312
