app,avg_transfer_size_per_read/write,io_subsystem,scaling,num_proc,avg_io_bandwidth_per_read/write,avg_io_time_over_rank,avg_transfer_time_over_rank
ior-t1m,1048576,cori 16 bb,weak-scaling,1024,154558801.4,0.332856529,0.288519299
ior-t64k,65536,lassen gpfs,weak-scaling,64,5332502630,1.695244813,0.030939969
ior-t64k,65536,lassen gpfs,weak-scaling,128,5269615675,1.587858461,0.023123687
ior-t64k,65536,lassen gpfs,weak-scaling,256,4923858915,1.856365469,0.013256328
ior-t64k,65536,lassen gpfs,weak-scaling,512,4813082978,2.119949402,0.012435906
ior-t64k,65536,lassen gpfs,weak-scaling,1024,4534724007,2.590530611,0.010170921
ior-t64k,65536,lassen node-local bb,weak-scaling,64,6759487350,0.008651875,0.006065141
ior-t64k,65536,lassen node-local bb,weak-scaling,128,6593611752,0.008985953,0.006301352
ior-t64k,65536,lassen node-local bb,weak-scaling,256,6789750051,0.008768223,0.006078309
ior-t64k,65536,lassen node-local bb,weak-scaling,512,6816012487,0.008686963,0.006060828
ior-t64k,65536,lassen node-local bb,weak-scaling,1024,6836963023,0.008249063,0.005832611
ior-t64k,65536,summit gpfs,weak-scaling,64,4200867957,0.240419563,0.013539531
ior-t64k,65536,summit gpfs,weak-scaling,128,4391253228,0.125313563,0.022622664
ior-t64k,65536,summit gpfs,weak-scaling,256,4332857462,0.194740395,0.019881316
ior-t64k,65536,summit gpfs,weak-scaling,512,3787479637,0.489241518,0.014096371
ior-t64k,65536,summit gpfs,weak-scaling,1024,4248355990,0.554367553,0.011910715
ior-t64k,65536,summit node-local bb,weak-scaling,64,8802415127,0.008331437,0.004190437
ior-t64k,65536,summit node-local bb,weak-scaling,128,9087126340,0.008064234,0.004006695
ior-t64k,65536,summit node-local bb,weak-scaling,256,8872304291,0.007831246,0.004138527
ior-t64k,65536,summit node-local bb,weak-scaling,512,9060118925,0.007801523,0.004029773
ior-t64k,65536,summit node-local bb,weak-scaling,1024,9098032425,0.008075258,0.004006891
ior-t4m,4194304,lassen gpfs,weak-scaling,64,8248898348,1.778026531,0.030314688
ior-t4m,4194304,lassen gpfs,weak-scaling,128,7751422737,1.564962477,0.010757914
ior-t4m,4194304,lassen gpfs,weak-scaling,256,7015098968,1.894229004,0.008940863
ior-t4m,4194304,lassen gpfs,weak-scaling,512,6847650185,2.131661449,0.009776234
ior-t4m,4194304,lassen gpfs,weak-scaling,1024,4839917851,1.909312384,0.011625529
ior-t4m,4194304,lassen node-local bb,weak-scaling,64,4194741991,0.01151425,0.008881625
ior-t4m,4194304,lassen node-local bb,weak-scaling,128,3923004555,0.011946211,0.009390711
ior-t4m,4194304,lassen node-local bb,weak-scaling,256,3965484630,0.012021133,0.009384527
ior-t4m,4194304,lassen node-local bb,weak-scaling,512,4017767729,0.01187876,0.009299771
ior-t4m,4194304,lassen node-local bb,weak-scaling,1024,4026471428,0.011767553,0.009279706
ior-t4m,4194304,summit gpfs,weak-scaling,64,5992237168,0.110249703,0.013086
ior-t4m,4194304,summit gpfs,weak-scaling,128,7400503306,0.121923648,0.013926156
ior-t4m,4194304,summit gpfs,weak-scaling,256,7048484862,0.163753953,0.013856645
ior-t4m,4194304,summit gpfs,weak-scaling,512,7032298372,0.329978711,0.008286984
ior-t4m,4194304,summit gpfs,weak-scaling,1024,6918745321,0.577127107,0.007765034
ior-t4m,4194304,summit node-local bb,weak-scaling,64,5742858502,0.011258422,0.007037156
ior-t4m,4194304,summit node-local bb,weak-scaling,128,5595827532,0.011339234,0.007150828
ior-t4m,4194304,summit node-local bb,weak-scaling,256,5511132414,0.011192438,0.007218469
ior-t4m,4194304,summit node-local bb,weak-scaling,512,5518501783,0.011276039,0.007190541
ior-t4m,4194304,summit node-local bb,weak-scaling,1024,5572864030,0.011080705,0.007110523
ior-t4k,4096,summit gpfs,weak-scaling,64,398686703.1,0.179362906,0.114406813
ior-t4k,4096,summit gpfs,weak-scaling,128,390100239.5,0.208642172,0.113017039
ior-t4k,4096,summit gpfs,weak-scaling,256,384939495.8,0.248111359,0.099188246
ior-t4k,4096,summit gpfs,weak-scaling,512,381122803.1,0.377817195,0.09664367
ior-t4k,4096,summit gpfs,weak-scaling,1024,375590479,0.795086379,0.10084356
ior-t4k,4096,summit node-local bb,weak-scaling,64,1744949030,0.03322225,0.022810812
ior-t4k,4096,summit node-local bb,weak-scaling,128,2046518963,0.030154031,0.019844586
ior-t4k,4096,summit node-local bb,weak-scaling,256,2374181937,0.026256309,0.016865551
ior-t4k,4096,summit node-local bb,weak-scaling,512,2384737507,0.02618484,0.016768922
ior-t4k,4096,summit node-local bb,weak-scaling,1024,2378739491,0.026433778,0.016824526
ior-t4k,4096,lassen gpfs,weak-scaling,64,498702716.8,2.713323078,0.100760719
ior-t4k,4096,lassen gpfs,weak-scaling,128,435102706.1,6.326165117,0.085781797
ior-t4k,4096,lassen gpfs,weak-scaling,256,461887807.9,2.728829867,0.084279684
ior-t4k,4096,lassen gpfs,weak-scaling,512,451368019.2,3.806785482,0.083966635
ior-t4k,4096,lassen gpfs,weak-scaling,1024,450242611,2.651346411,0.08574929
ior-t4k,4096,lassen node-local bb,weak-scaling,64,1078911682,0.100456984,0.085107578
ior-t4k,4096,lassen node-local bb,weak-scaling,128,1070673355,0.121524664,0.106333531
ior-t4k,4096,lassen node-local bb,weak-scaling,256,1083938982,0.121305996,0.10638327
ior-t4k,4096,lassen node-local bb,weak-scaling,512,1076020322,0.121290096,0.10630575
ior-t4k,4096,lassen node-local bb,weak-scaling,1024,1079984159,0.150502244,0.135406798
ior-t1m,1048576,lassen gpfs,weak-scaling,64,8704925151,1.587869844,0.020452875
ior-t1m,1048576,lassen gpfs,weak-scaling,128,8794349316,1.736811687,0.021724891
ior-t1m,1048576,lassen gpfs,weak-scaling,256,8496040944,1.987805352,0.011943977
ior-t1m,1048576,lassen gpfs,weak-scaling,512,7823455351,2.360857182,0.008815656
ior-t1m,1048576,lassen gpfs,weak-scaling,1024,7750683437,2.470438657,0.011208303
ior-t1m,1048576,lassen node-local bb,weak-scaling,64,7114549183,0.007230984,0.005299781
ior-t1m,1048576,lassen node-local bb,weak-scaling,128,7022568118,0.007315875,0.005374398
ior-t1m,1048576,lassen node-local bb,weak-scaling,256,7064791488,0.006996523,0.005356949
ior-t1m,1048576,lassen node-local bb,weak-scaling,512,6963273334,0.00715457,0.005453719
ior-t1m,1048576,lassen node-local bb,weak-scaling,1024,7069199076,0.007057837,0.00534578
ior-t1m,1048576,summit gpfs,weak-scaling,64,6822424682,0.138684094,0.056195937
ior-t1m,1048576,summit gpfs,weak-scaling,128,7065730495,0.188243703,0.012537016
ior-t1m,1048576,summit gpfs,weak-scaling,256,7935849459,0.218613547,0.025876563
ior-t1m,1048576,summit gpfs,weak-scaling,512,7842382394,0.26357308,0.007897039
ior-t1m,1048576,summit gpfs,weak-scaling,1024,7664016701,0.556487603,0.008667471
ior-t1m,1048576,summit node-local bb,weak-scaling,64,8671400917,0.007747641,0.004340812
ior-t1m,1048576,summit node-local bb,weak-scaling,128,8893275179,0.007867883,0.004281344
ior-t1m,1048576,summit node-local bb,weak-scaling,256,8555310664,0.008015672,0.004428
ior-t1m,1048576,summit node-local bb,weak-scaling,512,8878107026,0.008288957,0.004307068
ior-t1m,1048576,summit node-local bb,weak-scaling,1024,8613060375,0.008274403,0.004422663
